stop_id_a,stop_id_b,distance
Parent8501160,8591818,467.92545
Parent8501160,8591988,253.72694
Parent8501160,8592098,142.78746
Parent8501160,8592133,249.72884
Parent8501160,8592004,363.8231
Parent8501160,8592125,426.65997
Parent8501160,8501181:0:2,424.9779
Parent8501160,8592010,103.47198
Parent8501160,8501181,424.9779
Parent8501160,8592096,128.20598
Parent8501160,8592122,412.76816
Parent8501160,8501160,0.0
Parent8501160,8592011,114.094025
Parent8501160,8501160:0:1,0.0
Parent8570420,8557026,347.65323
Parent8570420,8570420:0:D,0.0
Parent8570420,8570420:0:A,0.0
Parent8570420,8570420:0:B,0.0
Parent8570420,8570420:0:C,0.0
Parent8570420,8581429,265.48236
8501118:0:3,8588838,189.92113
8501118:0:3,8501118:0:5,13.395679
8501118:0:3,8592209,490.22867
8501118:0:3,8530749,261.08008
8501118:0:3,8588983,132.59084
8501118:0:3,8593866,334.93845
8501118:0:3,8588839,351.20102
8501118:0:3,8501118:0:4,7.944703
8501118:0:3,8592202,296.96655
8501118:0:3,Parent8501118,179.58118
8501118:0:3,8592213,437.2132
8501118:0:3,8501118:0:1,11.933742
8501118:0:3,8501118:0:2,3.6065304
8501118:0:3,8593869,340.4056
8501170,8501170:0:1,0.0
8501218,8588838,441.4154
8501218,8591933,393.30023
8501218,8591953,431.1045
8501218,8510721,148.48877
8501218,8530749,345.5665
8501218,8588983,458.84863
8501218,Parent8501118,417.50174
8501218,8593815,477.6635
8501218,8593869,279.44388
8501218,8591958,334.12366
8504173,8592228,493.6106
8504173,8592232,456.21677
8504758,8557141,118.057755
8504758,8595474,438.85382
8504758,8504166,386.70743
8573634,8570164,415.40988
8573634,8507540,266.63123
8573634,8504178,230.3871
8588445,8588446,259.95358
8588445,8588443,208.61838
8588445,Parent8504000,488.9993
8588445,8588445:0:B,31.059755
8588445,Parent8588445,0.0
8588445,8501121:0:2,91.81998
8588445,8588445:0:D,42.58777
8588445,8592182,432.1041
8588445,Parent8501121,83.306465
8588445,8588442,388.05087
8588445,8588439,492.0052
8588445,8501121:0:1,96.162285
8588445,8504000,488.9993
8588445,8588440,414.2436
8588445,8592188,244.97061
8591939,8591935,289.94775
8591939,8593816,494.79523
8591939,8593815,276.599
8591939,8591958,418.11288
8591983,8592080,399.1555
8591983,8592064,359.61868
8591983,8592075,179.3389
8591983,8592046,452.91354
8591983,8592110,250.92438
8591983,8592097,492.4821
8591983,8592121,263.95294
8591983,8592044,184.02975
8591991,8579254,305.38974
8591991,8592051,176.11052
8591991,8592050:0:F,474.35806
8591991,8591979,480.8946
8591991,8592074,284.6592
8591991,8589523,155.09122
8591991,8592072,338.59723
8591991,8579237,324.7859
8591991,8592038,476.71356
8592021,8593844,284.3683
8592021,8592106,144.50392
8592021,8501208,241.66927
8592021,8592080,353.74295
8592021,8501207,276.11813
8592021,8592022,487.63336
8592021,8592044,499.32138
8592021,8592105,433.53693
8592101,8592002,345.25137
8592126,8592136,255.70467
8592126,8592042,448.91202
8592126,8579255,366.85056
8592126,8592031,328.458
8592126,8592008,403.14526
8592126,8592131,354.9344
8592128,8579239:0:E,361.88663
8592128,8591964,487.01062
8592128,Parent8579239,361.88663
8592128,8591971,355.41504
8592128,8579239:0:B,344.07404
8592128,8579239,361.88663
8592161,8579260,172.52316
8592161,8509297,446.4096
8592161,8592146,426.0455
8592161,8588438,261.41605
8592164,8592156,269.75674
8592164,Parent8501122,329.13016
8592164,8593861,300.1616
8592164,8501122:0:2,297.30527
8592164,8501122:0:1,291.72052
8592164,8592158,428.06995
8592164,8501318,322.36685
8592164,8592150,413.04544
8592164,8592160,373.67648
8592164,8592154,129.75351
8592208,8592178,234.75595
8592208,8592206,204.88486
8592208,8592212,245.24117
8592208,8592222,228.41568
8593795,Parent8504010,380.4199
8593795,8504010:0:2,324.07773
8593795,8504010:0:1,328.78653
8593795,8595191,377.54117
8593795,8591976,385.63293
8593795,8504010,380.4199
8595192,8588446,267.47632
8595192,8595191,439.51694
8595192,8592195,408.2086
8595192,8588448,400.60535
8595192,8593850,229.75258
8595192,8588447,167.6007
8595192,Parent8501121,442.50073
8501117:0:3,Parent8501117,105.19757
8501117:0:3,8595216,68.211555
8501117:0:3,8595217,342.1612
8501117:0:3,Parent8595216,68.211555
8501117:0:3,8501117:0:4,6.1409984
8501117:0:3,8581914,73.827286
8501117:0:3,8581918,347.69064
8501117:0:3,Parent8595214,212.00623
8501117:0:3,8595214,212.00623
8501117:0:3,8595214:0:1,212.00623
8501117:0:3,8501117:0:1,46.606472
8530749,8588838,96.75792
8530749,8510721,249.76454
8530749,8501118:0:5,262.41724
8530749,8501118:0:3,261.08008
8530749,8501218,345.5665
8530749,8588983,136.665
8530749,8593866,440.02548
8530749,8588839,240.16792
8530749,8501118:0:4,261.3408
8530749,8592202,421.09384
8530749,Parent8501118,82.168846
8530749,8510421,383.1159
8530749,8501118:0:1,260.34354
8530749,8501118:0:2,260.83646
8530749,8592214,454.12573
8530749,8593869,175.98788
8570420:0:D,8557026,347.65323
8570420:0:D,Parent8570420,0.0
8570420:0:D,8570420:0:A,0.0
8570420:0:D,8570420:0:B,0.0
8570420:0:D,8570420:0:C,0.0
8570420:0:D,8581429,265.48236
8579245,8592065,417.62305
8579245,8592025,230.87833
8579245,8592127,409.12683
8579245,8592002,363.43973
8579254,8501120:0:8,441.93588
8579254,8501181:0:1,289.19604
8579254,Parent8501181,289.19604
8579254,8501120:0:5,441.93588
8579254,8591991,305.38974
8579254,8501120:0:3,441.93588
8579254,8592051,394.6207
8579254,Parent8501120,441.93588
8579254,8592050:0:F,262.26617
8579254,8592050:0:H,352.99582
8579254,8579253,297.5883
